id,name,i18n_key
1,BEEF_PATTY,ingredient.beefPatty
2,CHICKEN_PATTY,ingredient.chickenPatty
3,VEGGIE_PATTY,ingredient.veggiePatty
4,LETTUCE,ingredient.lettuce
5,TOMATO,ingredient.tomato
6,ONION,ingredient.onion
7,PICKLES,ingredient.pickles
8,CHEESE,ingredient.cheese
9,BACON,ingredient.bacon
10,AVOCADO,ingredient.avocado
11,KETCHUP,ingredient.ketchup
12,MUSTARD,ingredient.mustard
13,MAYONNAISE,ingredient.mayonnaise
14,BBQ_SAUCE,ingredient.bbqSauce
15,RELISH,ingredient.relish
16,MUSHROOMS,ingredient.mushrooms
17,JALAPEÑOS,ingredient.jalapeños
18,FRIED_EGG,ingredient.friedEgg
19,CHILI,ingredient.chili
20,SPINACH,ingredient.spinach
21,CUCUMBER,ingredient.cucumber
22,BELL_PEPPER,ingredient.bellPepper
23,OLIVES,ingredient.olives
24,GARLIC,ingredient.garlic
25,PINEAPPLE,ingredient.pineapple
26,SRIRACHA,ingredient.sriracha
27,CHIPOTLE_MAYO,ingredient.chipotleMayo
28,HONEY_MUSTARD,ingredient.honeyMustard
29,RANCH_DRESSING,ingredient.ranchDressing
30,THOUSAND_ISLAND_DRESSING,ingredient.thousandIslandDressing
31,BLUE_CHEESE,ingredient.blueCheese
32,SWISS_CHEESE,ingredient.swissCheese
33,CHEDDAR_CHEESE,ingredient.cheddarCheese
34,MONTEREY_JACK_CHEESE,ingredient.montereyJackCheese
35,AMERICAN_CHEESE,ingredient.americanCheese
36,PROVOLONE_CHEESE,ingredient.provoloneCheese
37,PEPPER_JACK_CHEESE,ingredient.pepperJackCheese
38,BRIOCHE_BUN,ingredient.briocheBun
39,SESAME_BUN,ingredient.sesameBun
40,WHOLE_WHEAT_BUN,ingredient.wholeWheatBun
41,GLUTEN_FREE_BUN,ingredient.gluten-FreeBun
42,BALSAMIC_GLAZE,ingredient.balsamicGlaze
43,TRUFFLE_OIL,ingredient.truffleOil
44,ARUGULA,ingredient.arugula
45,KIMCHI,ingredient.kimchi
46,COLESLAW,ingredient.coleslaw
47,PESTO,ingredient.pesto
48,RED_ONION,ingredient.redOnion
49,CARAMELIZED_ONIONS,ingredient.caramelizedOnions
50,SUN_DRIED_TOMATOES,ingredient.sun-DriedTomatoes
51,GUACAMOLE,ingredient.guacamole
52,BUFFALO_SAUCE,ingredient.buffaloSauce
53,SWEET_CHILI_SAUCE,ingredient.sweetChiliSauce
54,AIOLI,ingredient.aioli
